project_name,commitOneSha,commitTwoSha,tool,behavior_change,failed_test_cases,local_test_suite,class_under-analysis,method_under_analysis
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,differential-evosuite,True,{'FastDateParser_ESTest#test0'},/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/afe5dff79fc23d222ba1f1481fbbf55e09d2e6da/evosuite_1,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/afe5dff79fc23d222ba1f1481fbbf55e09d2e6da/evosuite_2,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,differential-evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/0afcd15e183205a85a45a2775f1fb75a162a1389/evosuite_1,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/0afcd15e183205a85a45a2775f1fb75a162a1389/evosuite_2,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,aefe0749b2f2e63f9d13393694e7d20173bc032a,2aa9dca994b006ccbfcb528de5ff0da6a5578411,differential-evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/aefe0749b2f2e63f9d13393694e7d20173bc032a/evosuite_1,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,aefe0749b2f2e63f9d13393694e7d20173bc032a,2aa9dca994b006ccbfcb528de5ff0da6a5578411,evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/aefe0749b2f2e63f9d13393694e7d20173bc032a/evosuite_2,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,aefe0749b2f2e63f9d13393694e7d20173bc032a,2aa9dca994b006ccbfcb528de5ff0da6a5578411,randoop,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/aefe0749b2f2e63f9d13393694e7d20173bc032a/randoop_1,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,0cc451d5e5cb565eb7311308466f487bc534ebaf,38bf7048571f3bc8dd34d14691906426444e4381,differential-evosuite,False,set(),/local/tmp.11164365/study-execution/nimrod-hunoroutput-test-dest/commons-lang/0cc451d5e5cb565eb7311308466f487bc534ebaf/evosuite_1,org.apache.commons.lang3.StringUtils,containsAny(CharSequence| char[])boolean
